50,1,1225207
50,3,507404
50,5,453595
50,7,431483
50,9,538666
100,1,691232
100,3,875380
100,5,963166
100,7,1428409
100,9,1279887
150,1,570638
150,3,1273110
150,5,1586822
150,7,2326951
150,9,2271692
200,1,506721
200,3,1469334
200,5,1256724
200,7,847522
200,9,864728
250,1,250185
250,3,543293
250,5,722705
250,7,959157
250,9,1166753
300,1,263070
300,3,674015
300,5,1076208
300,7,1228553
300,9,1822417
350,1,315761
350,3,1068054
350,5,1168389
350,7,1568546
350,9,2208638
400,1,331182
400,3,815300
400,5,1570081
400,7,2442701
400,9,2092439
450,1,396961
450,3,1093185
450,5,1567269
450,7,2645880
450,9,2812028
500,1,457167
500,3,807605
500,5,1197267
500,7,1799619
500,9,1753801
550,1,566383
550,3,1265661
550,5,2080341
550,7,1754540
550,9,2880359
600,1,748718
600,3,1207458
600,5,1619088
600,7,1783088
600,9,1937585
650,1,450311
650,3,872221
650,5,1508739
650,7,1433246
650,9,2031722
700,1,303592
700,3,603642
700,5,1325597
700,7,1545275
700,9,2812244
750,1,360670
750,3,833460
750,5,1120912
750,7,2007805
750,9,2070850
800,1,294858
800,3,911160
800,5,1477944
800,7,2028305
800,9,2423640
850,1,336367
850,3,1041013
850,5,1436660
850,7,2657265
850,9,2236379
900,1,400825
900,3,962316
900,5,1480342
900,7,1890012
900,9,2341209
950,1,582444
950,3,979506
950,5,1529721
950,7,2266210
950,9,2512923
1000,1,352445
1000,3,1083983
1000,5,1635816
1000,7,2483956
1000,9,3181165
1050,1,620599
1050,3,1181334
1050,5,1648375
1050,7,2130038
1050,9,2684117
1100,1,396299
1100,3,1146438
1100,5,1578087
1100,7,3294876
1100,9,3156589
1150,1,413367
1150,3,1284104
1150,5,1816449
1150,7,2590524
1150,9,2843503
1200,1,466910
1200,3,1026965
1200,5,1677673
1200,7,2242446
1200,9,3324866
1250,1,450070
1250,3,1496728
1250,5,1746278
1250,7,3057217
1250,9,3608546
1300,1,473148
1300,3,1612792
1300,5,2462092
1300,7,3225123
1300,9,3940385
1350,1,580655
1350,3,1247202
1350,5,2136012
1350,7,2756768
1350,9,3595012
1400,1,678499
1400,3,1226663
1400,5,2040984
1400,7,2799912
1400,9,3430080
1450,1,631621
1450,3,1260270
1450,5,2098108
1450,7,2880119
1450,9,3802170
1500,1,789411
1500,3,1298394
1500,5,2300252
1500,7,3246314
1500,9,3907763
1550,1,592999
1550,3,1795620
1550,5,2571240
1550,7,2998309
1550,9,3971369
1600,1,770461
1600,3,1432504
1600,5,2394031
1600,7,3253506
1600,9,3945331
1650,1,628547
1650,3,1591018
1650,5,2370780
1650,7,3260556
1650,9,4346021
1700,1,652279
1700,3,1419638
1700,5,2574256
1700,7,3235597
1700,9,4580745
1750,1,650088
1750,3,1519887
1750,5,2576552
1750,7,4318669
1750,9,4874594
1800,1,655537
1800,3,2580500
1800,5,2693928
1800,7,3562592
1800,9,4796815
1850,1,727614
1850,3,1626458
1850,5,2843502
1850,7,3749557
1850,9,4785114
1900,1,735618
1900,3,1657303
1900,5,2504220
1900,7,3369955
1900,9,5218012
1950,1,728260
1950,3,1677234
1950,5,3285200
1950,7,4918424
1950,9,5658720
