50,492495
100,148936
150,177090
200,278086
250,230944
300,229853
350,216110
400,209611
450,271725
500,424392
550,329656
600,308966
650,322883
700,346827
750,386716
800,636151
850,490406
900,589837
950,522298
1000,695043
1050,717825
1100,730668
1150,606278
1200,835308
1250,1066879
1300,643418
1350,662242
1400,935488
1450,718868
1500,704754
1550,974317
1600,974285
1650,783381
1700,806558
1750,1387308
1800,1441503
1850,1329258
1900,724944
1950,448203
50,786610
100,211340
150,154959
200,476885
250,314614
300,184714
350,311192
400,206162
450,329376
500,253796
550,391370
600,320250
650,433077
700,1243064
750,1315143
800,549910
850,1488511
900,580498
950,784617
1000,707499
1050,825455
1100,660302
1150,788581
1200,630792
1250,671442
1300,1047741
1350,636252
1400,674467
1450,901757
1500,1625749
1550,838308
1600,879515
1650,835004
1700,1023290
1750,1154675
1800,1056045
1850,569554
1900,841520
1950,584680
